query_id,question,reference_answer,reference_evidence,generated_answer,result,wrong_claim,error_type,reason,api_status_code,api_error_code,answer_visibility
pdf-rag-011,"What does assistance sti say concerning ""C5 Bias of the assessor The insurance does not cover""?","C5 Bias of the assessor The insurance does not cover events in which the assessor (expert, doctor, assessor, etc.) who is evaluating the loss occurrence directly benefits from the loss occurrence or is related to the insured person by blood or marriage.","[{""source"": ""assistance-sti.pdf"", ""page"": 3, ""quote"": ""C5 Bias of the assessor The insurance does not cover events in which the assessor (expert, doctor, assessor, etc.) who is evaluating the loss occurrence directly benefits from the loss occurrence or is related to the insured person by blood or marriage.""}]","The insurance does not cover events in which the assessor (expert, doctor, assessor, etc.) who is evaluating the loss occurrence directly benefits from the loss occurrence or is related to the insured person by blood or marriage. 

Source: [assistance-sti.pdf, page 6]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-012,"According to assistance sti, what does it state about ""B2 Delayed commencement of travel If, as a result of""?","B2 Delayed commencement of travel If, as a result of an insured event, the insured person cannot take a trip or enter a rented property or event until after the originally agreed date, then instead of covering the cancellation costs, Helvetia will cover the additional costs incurred in relation to the delayed departure and the costs for the unused part of the stay in proportion to the arrangement price (not including transport costs).","[{""source"": ""assistance-sti.pdf"", ""page"": 3, ""quote"": ""B2 Delayed commencement of travel If, as a result of an insured event, the insured person cannot take a trip or enter a rented property or event until after the originally agreed date, then instead of covering the cancellation costs, Helvetia will cover the additional costs incurred in relation to the delayed departure and the costs for the unused part of the stay in proportion to the arrangement price (not including transport costs).""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-sti.pdf, page 3].

B2 Delayed commencement of travel states that if, as a result of an insured event, the insured person cannot take a trip or enter a rented property or event until after the originally agreed date, then instead of covering the cancellation costs, Helvetia will cover the additional costs incurred in relation to the delayed departure and the costs for the unused part of the stay in proportion to the arrangement price (not including transport costs). The benefits are limited to the amount of the agreed arrangement price. The day of arrival is deemed to be the used arrangement day. 

Source: [assistance-sti.pdf, page 3]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-013,"What coverage or rule is described for ""C6 Non-specialist medical assessment The insurance does not cover events"" in assistance sti?","C6 Non-specialist medical assessment The insurance does not cover events in which medical certificates, expert opinions or comparable medical assessments are issued by a specialist whose speciality is not factually related to the health related loss occurrence claimed.","[{""source"": ""assistance-sti.pdf"", ""page"": 3, ""quote"": ""C6 Non-specialist medical assessment The insurance does not cover events in which medical certificates, expert opinions or comparable medical assessments are issued by a specialist whose speciality is not factually related to the health related loss occurrence claimed.""}]","The coverage described for ""C6 Non-specialist medical assessment"" states that the insurance does not cover events in which medical certificates, expert opinions, or comparable medical assessments are issued by a specialist whose specialty is not factually related to the health-related loss occurrence claimed. This applies particularly if the assessment takes place outside the typically recognized area of responsibility and expertise of the issuing doctor. 

Source: [assistance-sti.pdf, page 6]",correct,,,The generated draft accurately reflects the coverage described in the reference answer and quote without any factual inaccuracies.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-014,"How does assistance sti describe ""However, we will grant the insured persons coverage if these""?","However, we will grant the insured persons coverage if these faults could not have been recognised even with due attention.","[{""source"": ""assistance-sti.pdf"", ""page"": 7, ""quote"": ""However, we will grant the insured persons coverage if these faults could not have been recognised even with due attention.""}]","The assistance-sti document states that coverage will be granted to insured persons if the faults could not have been recognized even with due attention. This applies specifically to journeys made by persons who are making unauthorized use of vehicles entrusted to them, journeys made by persons having stolen the vehicle, and similar situations outlined in the exclusions. 

Source: [assistance-sti.pdf, page 7]",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-015,"What does assistance sti say concerning ""A3 Failure and delays If, either before beginning a journey""?","A3 Failure and delays If, either before beginning a journey or while en route to the point of departure of a booked trip, the insured person experiences one of the following events: a) failure or delay of public transport or means of transportation; b) the vehicle or taxi used for transportation cannot be driven (is unroadworthy) due to breakdown, accident, theft, fire or natural forces.","[{""source"": ""assistance-sti.pdf"", ""page"": 3, ""quote"": ""A3 Failure and delays If, either before beginning a journey or while en route to the point of departure of a booked trip, the insured person experiences one of the following events: a) failure or delay of public transport or means of transportation; b) the vehicle or taxi used for transportation cannot be driven (is unroadworthy) due to breakdown, accident, theft, fire or natural forces.""}]","The section A3 ""Failure and delays"" states that if, either before beginning a journey or while en route to the point of departure of a booked trip, the insured person experiences one of the following events:

- Failure or delay of public transport or means of transportation.
- The vehicle or taxi used for transportation cannot be driven (is unroadworthy) due to breakdown, accident, theft, fire, or natural forces.

The benefits will only be provided if the scheduled delay exceeds one hour as a result of an insured event. Benefits will only be provided for missed connections if there are more than three hours between the scheduled arrival and departure times. Additional transport costs up to a maximum of CHF 2,000 per insured person will be covered.

Source: [assistance-sti.pdf, page 3]",unknown,,unsupported_fact,"No factual contradiction could be confirmed from the reference and supplied evidence; the remaining additional, incomplete, or irrelevant content is therefore conservatively classified as unknown.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-016,"According to assistance sti, what does it state about ""H4 Search, rescue and recovery costs Search, rescue and recovery""?","H4 Search, rescue and recovery costs Search, rescue and recovery costs are paid for the insured person.","[{""source"": ""assistance-sti.pdf"", ""page"": 7, ""quote"": ""H4 Search, rescue and recovery costs Search, rescue and recovery costs are paid for the insured person.""}]","The insurance covers search, rescue, and recovery costs for the insured person. This benefit is applicable in situations where such services are necessary. 

Source:
- [assistance-sti.pdf, page 7]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-017,"What coverage or rule is described for ""In addition, under age children travelling in the care of"" in assistance sti?","In addition, under age children travelling in the care of an insured person are also covered.","[{""source"": ""assistance-sti.pdf"", ""page"": 9, ""quote"": ""In addition, under age children travelling in the care of an insured person are also covered.""}]","Travel assistance includes cancellation protection for supported unforeseen events before departure [assistance-sti.pdf, page 9].
While travelling, supported benefits include transport, lodging, advances or unused services [assistance-sti.pdf, page 4].

The insurance covers under-age children travelling in the care of an insured person. This coverage applies depending on what is agreed in the policy, specifically for the policyholder (one-person household) or the policyholder and all persons cohabiting with the policyholder (multi-person household). 

Source: [assistance-sti.pdf, page 9]",correct,,,The generated draft accurately reflects the coverage for under-age children travelling in the care of an insured person as stated in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-018,"How does assistance sti describe ""E1 Call-back and transport costs D5 Damage to property at""?","E1 Call-back and transport costs D5 Damage to property at the residential address If property of the insured person at their permanent residence or a second residence is significantly affected by a fire, natural forces, water event or theft event and the insured person is unable to continue the trip or holiday as planned.","[{""source"": ""assistance-sti.pdf"", ""page"": 5, ""quote"": ""E1 Call-back and transport costs D5 Damage to property at the residential address If property of the insured person at their permanent residence or a second residence is significantly affected by a fire, natural forces, water event or theft event and the insured person is unable to continue the trip or holiday as planned.""}]","The assistance sti describes ""E1 Call-back and transport costs D5 Damage to property at the residential address"" as follows:

- If property of the insured person at their permanent residence or a second residence is significantly affected by a fire, natural forces, water event, or theft event, and the insured person is unable to continue the trip or holiday as planned, additional call-back and transportation costs for the direct return to the permanent residence will be covered.
- If continuation of the previously commenced trip or holiday is possible afterwards, additional transport costs up to a maximum of CHF 2,000 will be paid per insured person.

Source: [assistance-sti.pdf, page 5]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-019,"What does assistance sti say concerning ""CHF 2ʼ000 per insured person if the insured person requires""?","CHF 2ʼ000 per insured person if the insured person requires an unfore seen stay, an unfo reseen extension to their stay, or must acquire more suita ble accommodation for care purposes; Max.","[{""source"": ""assistance-sti.pdf"", ""page"": 4, ""quote"": ""CHF 2ʼ000 per insured person if the insured person requires an unfore seen stay, an unfo reseen extension to their stay, or must acquire more suita ble accommodation for care purposes; Max.""}]","The assistance sti states the following regarding ""CHF 2ʼ000 per insured person if the insured person requires"":

- Max. CHF 2ʼ000 per insured person for an unforeseen stay abroad.
- This applies if the insured person requires an unforeseen stay, an unforeseen extension to their stay, or must acquire more suitable accommodation for care purposes.
- The costs covered are for the unused part of the stay in proportion to the arrangement price (not including transport costs). The return day is deemed to be the used arrangement day.

Source: [assistance-sti.pdf, page 4]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-020,"According to assistance sti, what does it state about ""Spare parts are deemed to be only those parts ordinarily""?",Spare parts are deemed to be only those parts ordinarily transported by breakdown assistance vehicles (fuel and vehicle batteries are not insured).,"[{""source"": ""assistance-sti.pdf"", ""page"": 7, ""quote"": ""Spare parts are deemed to be only those parts ordinarily transported by breakdown assistance vehicles (fuel and vehicle batteries are not insured).""}]","The document states that ""Spare parts are deemed to be only those parts ordinarily transported by breakdown assistance vehicles (fuel and vehicle batteries are not insured)."" This means that only specific spare parts typically carried by these vehicles are covered, excluding fuel and vehicle batteries. 

Source: [assistance-sti.pdf, page 7]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-021,"What coverage or rule is described for ""K6 Transport and additional transport costs The costs incurred by"" in assistance sti?","K6 Transport and additional transport costs The costs incurred by the insured person to return home or to continue the journey by public transport or taxi to his/her place of work, place of residence or temporary holiday domicile.","[{""source"": ""assistance-sti.pdf"", ""page"": 8, ""quote"": ""K6 Transport and additional transport costs The costs incurred by the insured person to return home or to continue the journey by public transport or taxi to his/her place of work, place of residence or temporary holiday domicile.""}]","The coverage described for ""K6 Transport and additional transport costs"" includes:

- The costs incurred by the insured person to return home or to continue the journey by public transport or taxi to his/her place of work, place of residence, or temporary holiday domicile.
- Taxi costs are covered up to a maximum of CHF 300.

This coverage is applicable under specific circumstances related to the insured event. 

Source: [assistance-sti.pdf, page 8]",correct,,,The generated draft accurately reflects the coverage described in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-022,"How does assistance sti describe ""The benefits are limited to the amount of the agreed""?",The benefits are limited to the amount of the agreed arrangement price.,"[{""source"": ""assistance-sti.pdf"", ""page"": 3, ""quote"": ""The benefits are limited to the amount of the agreed arrangement price.""}]","The assistance STI states that the combined benefits for each event are limited to the insured sum agreed in the policy. This means that the total benefits payable for any single event cannot exceed the amount specified in the policy. Additionally, these benefits are payable only once and cannot be combined with benefits from personal assistance or cancellation costs. 

Source: [assistance-sti.pdf, page 7]",hallucination,The combined benefits for each event are limited to the insured sum agreed in the policy.,wrong_condition,"The reference evidence limits benefits to the agreed arrangement price, not to an unspecified insured sum in the policy.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-023,"What does assistance sti say concerning ""These benefits cannot be combined with the benefits from personal""?",These benefits cannot be combined with the benefits from personal assistance or cancellation costs.,"[{""source"": ""assistance-sti.pdf"", ""page"": 7, ""quote"": ""These benefits cannot be combined with the benefits from personal assistance or cancellation costs.""}]","The assistance STI states that the benefits covered by the insurance are payable only once and cannot be combined with the benefits from personal assistance or cancellation costs. 

Source: [assistance-sti.pdf, page 7]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-024,"According to assistance sti, what does it state about ""the breakage of vehicle parts made of glass or materials""?","the breakage of vehicle parts made of glass or materials used to replace glass as well as light bulbs, to the extent that they are destroyed by the glass breakage; ■ tyre damage; ■ damage to or loss of car keys, including replacement of the lock cylinder where necessary.","[{""source"": ""assistance-sti.pdf"", ""page"": 7, ""quote"": ""the breakage of vehicle parts made of glass or materials used to replace glass as well as light bulbs, to the extent that they are destroyed by the glass breakage; ■ tyre damage; ■ damage to or loss of car keys, including replacement of the lock cylinder where necessary.""}]","The assistance STI states that it covers the breakage of vehicle parts made of glass or materials used to replace glass, specifically in the context of rental cars.
Compensation is provided for:
- Glass breakage, which includes the breakage of vehicle parts made of glass or materials used to replace glass.
- Tyre damage.
- Damage to or loss of car keys, including replacement of the lock cylinder where necessary.
However, it does not cover materials and other repair costs not listed above.
Source: [assistance-sti.pdf, page 7]

Under the general document terms, the policyholder will not have to bear a deductible if the damaged front windscreen is repaired and not replaced in the case of glass damage [motor-vehicle-insurance-sti.pdf, page 9].",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote regarding the coverage of glass breakage and related damages.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-025,"What coverage or rule is described for ""For the costs for the unused part of the stay"" in assistance sti?",For the costs for the unused part of the stay in proporti on to the arran gement price (not including transport costs).,"[{""source"": ""assistance-sti.pdf"", ""page"": 4, ""quote"": ""For the costs for the unused part of the stay in proporti on to the arran gement price (not including transport costs).""}]","The coverage for ""For the costs for the unused part of the stay"" includes the following details:

- It covers costs in proportion to the arrangement price, excluding transport costs.
- The return day is considered the used arrangement day.
- There is a maximum coverage of CHF 1,000 for the costs of the unused share.
- Additionally, there is a maximum coverage of CHF 50,000 per insured person for unforeseen circumstances.

This information is detailed in the document as follows: ""For the costs for the unused part of the stay in proportion to the arrangement price (not including transport costs). The return day is deemed to be the used arrangement day. Up to a maximum of CHF 1,000 for the costs of the unused share. Up to a maximum of CHF 50,000 per insured person."" [assistance-sti.pdf, page 4]",hallucination,"Additionally, there is a maximum coverage of CHF 50,000 per insured person for unforeseen circumstances.","wrong_number, wrong_coverage","The reference evidence for the unused part of the stay supports proportional arrangement costs excluding transport; the draft attaches an unrelated CHF 50,000 limit to this coverage.",503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-026,"How does assistance sti describe ""K1 Breakdown assistance Costs for breakdown assistance, including spare parts""?","K1 Breakdown assistance Costs for breakdown assistance, including spare parts needed to make the vehicle roadworthy again at the breakdown location.","[{""source"": ""assistance-sti.pdf"", ""page"": 8, ""quote"": ""K1 Breakdown assistance Costs for breakdown assistance, including spare parts needed to make the vehicle roadworthy again at the breakdown location.""}]","The ""K1 Breakdown assistance"" benefit covers:

- Costs for breakdown assistance, including spare parts needed to make the vehicle roadworthy again at the breakdown location.
- Spare parts are deemed to be only those parts normally carried in roadside assistance vehicles.

This benefit is limited to the insured sum agreed in the policy and is payable only once. It cannot be combined with benefits from personal assistance or cancellation costs. 

Source: [assistance-sti.pdf, page 8]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-027,"What does assistance sti say concerning ""Close person Married or common law partners as well as""?","Close person Married or common law partners as well as their parents, children, relatives in a direct line, siblings, first cousins, first aunts and uncles.","[{""source"": ""assistance-sti.pdf"", ""page"": 9, ""quote"": ""Close person Married or common law partners as well as their parents, children, relatives in a direct line, siblings, first cousins, first aunts and uncles.""}]","The term ""Close person"" refers to married or common law partners, as well as their parents, children, relatives in a direct line, siblings, first cousins, first aunts, and uncles. 

Source: [assistance-sti.pdf, page 9]",correct,,,The generated draft accurately reflects the information provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-028,"According to assistance sti, what does it state about ""Replacement vehicle A replacement vehicle is a vehicle provided temporarily""?",Replacement vehicle A replacement vehicle is a vehicle provided temporarily to bridge the loss of use of a damaged or unfit vehicle.,"[{""source"": ""assistance-sti.pdf"", ""page"": 9, ""quote"": ""Replacement vehicle A replacement vehicle is a vehicle provided temporarily to bridge the loss of use of a damaged or unfit vehicle.""}]","A replacement vehicle is defined as a vehicle provided temporarily to bridge the loss of use of a damaged or unfit vehicle. It is typically used when the insured vehicle is unavailable due to an insured event. 

Source: [assistance-sti.pdf, page 9]",correct,,,The generated draft accurately reflects the definition of a replacement vehicle as provided in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-029,"What coverage or rule is described for ""The additional call back and transportation costs for the direct"" in assistance sti?",The additional call back and transportation costs for the direct return to the permanent residence.,"[{""source"": ""assistance-sti.pdf"", ""page"": 5, ""quote"": ""The additional call back and transportation costs for the direct return to the permanent residence.""}]","The coverage for ""The additional call back and transportation costs for the direct return to the permanent residence"" applies when:

- The insured person's property at their permanent residence or a second residence is significantly affected by a fire, natural forces, water event, or theft event, and they are unable to continue the trip or holiday as planned.
- If continuation of the trip or holiday is possible afterwards, additional transport costs up to a maximum of CHF 2,000 will be paid per insured person.

This is outlined in the context for damage to property at the residential address. 

Source: [assistance-sti.pdf, page 5]",correct,,,The generated draft accurately reflects the coverage described in the reference answer and quote.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
pdf-rag-030,"How does assistance sti describe ""We will therefore explain the most important expressions here in""?",We will therefore explain the most important expressions here in alphabetical order.,"[{""source"": ""assistance-sti.pdf"", ""page"": 9, ""quote"": ""We will therefore explain the most important expressions here in alphabetical order.""}]",The available sources do not contain enough information to answer this question.,fallback,,,The draft explicitly abstains because it reports insufficient source information; by definition this is not hallucination.,503,GUARDRAIL_INVALID_OUTPUT,withheld_before_user_delivery
