case_id,weak_label,weak_label_source,weak_label_confidence,weak_label_quality_reason,source_type,mutation_type,split,leakage_group_id,quality_flags,primary_source_exists,mutation_source_exists,mutation_provenance_complete,traceable_change,duplicate_group_id,canonical_case,duplicate_cluster_size,excluded_from_primary_reason,high_risk_mutation_proxy,classifier_version
ext-iqa-pass-019,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-69f8c9702c9a,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-020,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-3a9ca4b9f3c8,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-021,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-5ec7b9af0c61,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-022,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-e912afbae8e7,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-023,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-6c4bc6cfa954,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-024,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-6c4bc6cfa954,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-025,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-aba2c9e7a82d,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-026,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-9e8009daaecf,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-027,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-1d1ce626b09d,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-028,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-0be3095c3478,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-029,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-33989e349e5c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-030,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-6c4bc6cfa954,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-031,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-43edded82d7c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-032,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-a596cce11c22,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-033,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-5d4ec89b8176,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-034,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-e4e12d64d217,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-035,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-998dc2e43ba5,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-036,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-8d7e2acf95d5,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-037,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-75f840a070a5,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-038,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,CALIBRATION,lg-6cc4ba0e7bee,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-039,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,LOCKED_HOLDOUT_CANDIDATE,lg-2a530e51e40c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-040,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,exact_answer,VALIDATION,lg-c34c21dbcd45,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-041,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-bce999019bc2,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-042,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-06d04824ff51,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-043,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-e91671ac667e,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-044,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-2f27fd06051f,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-045,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-fb55c6c4f298,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-046,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-f7c3426f7595,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-047,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-bf57042a42f4,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-048,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-bb496bd62b0e,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-049,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-efa66051644a,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-050,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-16b8e6895d05,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-051,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-5ec7b9af0c61,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-052,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-92604aa92260,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-053,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-2f02a4071f1a,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-054,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-55aa2726a798,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-055,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-96158ce07170,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-056,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-e965d718aa27,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-057,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-3484938e3c8d,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-058,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-d52a46015bc0,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-059,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-0842e3c07b93,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-060,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-8472bb0c76c3,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-061,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-8a2118072fba,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-062,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-e1a2f492ceb7,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-063,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-e5fbc46753a2,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-064,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-bc0d2da20ce3,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-065,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-23c6bcee5466,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-066,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-0412d4c453d4,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-067,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-9cc6a236f482,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-068,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-1765c102a38c,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-069,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-1ae1de81b884,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-070,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-4f620dc4451b,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-071,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-79756d801e39,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-072,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-eb39f2aacad7,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-073,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-eb3338d2d21b,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-074,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,LOCKED_HOLDOUT_CANDIDATE,lg-7611a909dba9,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-075,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-f248e68c5395,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-076,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-171c5b5949f5,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-077,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-1fe2a3e8b76f,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-078,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-6b50e6a0e3ef,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-079,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,CALIBRATION,lg-1ab60ed2ee2e,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-080,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_preface,VALIDATION,lg-d22d88154e4b,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-081,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,CALIBRATION,lg-a139ceecfa4a,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-082,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,LOCKED_HOLDOUT_CANDIDATE,lg-dd866d624eeb,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-083,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,CALIBRATION,lg-e56431f4de61,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-084,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,CALIBRATION,lg-4501a3e32b81,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-085,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,LOCKED_HOLDOUT_CANDIDATE,lg-0f3b7f218fbc,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-086,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,LOCKED_HOLDOUT_CANDIDATE,lg-a13bb5c15d00,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
ext-iqa-pass-087,PASS,generator_expected_label plus documented mutation/source provenance,HIGH,primary_source_present;required_fields_complete;no_quality_flags;not_exact_duplicate;weak_label_not_human_ground_truth,insuranceqa,supported_answer_with_citation,CALIBRATION,lg-45a0ee290c0d,[],True,True,True,True,,True,1,,False,weak_label_quality_v1
